FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Luke Caudillo,67.0,155.0,,Orthodox,1980-11-30,http://ufcstats.com/fighter-details/68d76fd9ecf7431d
Gesias Cavalcante,68.0,155.0,71.0,Orthodox,1983-07-06,http://ufcstats.com/fighter-details/2a74bbba57058f12
Rafael Cavalcante,73.0,205.0,74.0,Orthodox,1980-04-14,http://ufcstats.com/fighter-details/5c1ca0c72b599a3c
Jacqueline Cavalcanti,68.0,135.0,70.0,Orthodox,1997-08-29,http://ufcstats.com/fighter-details/e3964ece586e0635
Igor Cavalcanti,71.0,170.0,79.0,Orthodox,1997-10-10,http://ufcstats.com/fighter-details/9c3de7f8966326de
Magnus Cedenblad,77.0,185.0,79.0,Orthodox,1982-04-10,http://ufcstats.com/fighter-details/0e21976afc92e4d1
Yosdenis Cedeno,68.0,155.0,69.0,Orthodox,1985-02-12,http://ufcstats.com/fighter-details/3e61082025db8137
Henry Cejudo,64.0,135.0,64.0,Orthodox,1987-02-09,http://ufcstats.com/fighter-details/056c493bbd76a918
Adam Cella,74.0,170.0,,,1985-06-26,http://ufcstats.com/fighter-details/b27b8881d7444114
Vinicius Cenci,73.0,155.0,74.0,Orthodox,1995-11-24,http://ufcstats.com/fighter-details/f21a152aaa3e95c6
Katlyn Cerminara,69.0,125.0,68.0,Orthodox,1988-12-28,http://ufcstats.com/fighter-details/e872e9a9a902c045
Rafael Cerqueira,75.0,205.0,76.0,Southpaw,1990-03-15,http://ufcstats.com/fighter-details/09a4447655fd4b7b
Donald Cerrone,73.0,155.0,73.0,Orthodox,1983-03-29,http://ufcstats.com/fighter-details/1d00756835ca67c9
Jared Chaffee,70.0,155.0,,,1984-12-15,http://ufcstats.com/fighter-details/fdf59144e535bc38
Luan Chagas,72.0,170.0,75.0,Orthodox,1993-06-17,http://ufcstats.com/fighter-details/9ccf8371fd80d45d
Edgar Chairez,67.0,125.0,71.0,Orthodox,1996-01-27,http://ufcstats.com/fighter-details/5ef94841c4bc3f86
Ansar Chalangov,69.0,170.0,,Orthodox,1979-10-30,http://ufcstats.com/fighter-details/7342fcc41a4817fa
Alex Chambers,63.0,115.0,63.0,Southpaw,1978-10-25,http://ufcstats.com/fighter-details/26b63bc5c0c1f65d
Michael Chandler,68.0,155.0,71.0,Orthodox,1986-04-24,http://ufcstats.com/fighter-details/4b93a88f3b1de35b
Chelsea Chandler,68.0,135.0,68.0,Southpaw,1990-11-23,http://ufcstats.com/fighter-details/af9efbfd63d39734
Eduardo Chapolin,67.0,125.0,67.0,Orthodox,1995-11-23,http://ufcstats.com/fighter-details/62f3039da2f92a8c
Donnie Chappell,71.0,178.0,,Southpaw,,http://ufcstats.com/fighter-details/8788beb528894f33
Joe Charles,73.0,260.0,,Southpaw,,http://ufcstats.com/fighter-details/19ffeb5e3fffd6d5
Dan Charles,74.0,228.0,,,1985-09-24,http://ufcstats.com/fighter-details/32a4f1235f0dad73
Morgan Charriere,68.0,145.0,69.0,Orthodox,1995-10-26,http://ufcstats.com/fighter-details/5b03b61f9d90125e
Jeisla Chaves,66.0,125.0,68.0,Orthodox,1997-02-02,http://ufcstats.com/fighter-details/8061a3136026a673
Ernest Chavez,68.0,145.0,70.0,Orthodox,1983-06-27,http://ufcstats.com/fighter-details/b406da701c479076
Emilio Chavez,69.0,145.0,,,,http://ufcstats.com/fighter-details/84e8920e59ff14a7
Danny Chavez,68.0,145.0,67.0,Orthodox,1987-03-14,http://ufcstats.com/fighter-details/0de720c0f1d4ab9c
Gabriel Checco,73.0,185.0,,Switch,1986-04-03,http://ufcstats.com/fighter-details/9c5f7d5c6d084b35
Albert Cheng,71.0,170.0,,Orthodox,1985-02-07,http://ufcstats.com/fighter-details/d8d7b24d276c8cb0
Fabio Cherant,73.0,205.0,74.0,Southpaw,1994-11-25,http://ufcstats.com/fighter-details/78a68f1dade6aaf7
Ion Cherdivara,,205.0,,,,http://ufcstats.com/fighter-details/c713a845360d604b
Mark Cherico,67.0,145.0,69.0,Orthodox,1986-05-12,http://ufcstats.com/fighter-details/79a193111e3bc99b
Macy Chiasson,71.0,135.0,72.0,Orthodox,1991-07-27,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b
Michael Chiesa,73.0,170.0,75.0,Southpaw,1987-12-07,http://ufcstats.com/fighter-details/c58f51dedb310998
Giga Chikadze,72.0,145.0,74.0,Orthodox,1988-08-25,http://ufcstats.com/fighter-details/9560ff14eb3129f7
Khamzat Chimaev,74.0,185.0,75.0,Orthodox,1994-05-01,http://ufcstats.com/fighter-details/767755fd74662dbf
Sako Chivitchian,71.0,155.0,,Orthodox,1984-03-11,http://ufcstats.com/fighter-details/9f7787e56a6bc0f4
Mu Bae Choi,74.0,230.0,,Orthodox,1970-06-27,http://ufcstats.com/fighter-details/371a1c91b24dec2b
Hong Man Choi,86.0,330.0,,Orthodox,1980-10-30,http://ufcstats.com/fighter-details/2c104b7e59a72629
Dooho Choi,70.0,145.0,70.0,Orthodox,1991-04-10,http://ufcstats.com/fighter-details/e93b04e308913c2e
SeungWoo Choi,72.0,145.0,74.0,Orthodox,1992-11-03,http://ufcstats.com/fighter-details/a68575214ecad140
SeungGuk Choi,66.0,125.0,64.0,Orthodox,1996-12-26,http://ufcstats.com/fighter-details/adccbc19b22e19af
DongHun Choi,65.0,125.0,66.0,Switch,1999-01-02,http://ufcstats.com/fighter-details/3be16d817b36098b
Mark Choinski,68.0,155.0,69.0,Orthodox,1995-10-22,http://ufcstats.com/fighter-details/001eb2ab0f30e7ea
John Cholish,71.0,155.0,74.0,Orthodox,1983-12-17,http://ufcstats.com/fighter-details/03c9994c5b8958ec
Ryo Chonan,69.0,170.0,70.0,Orthodox,1976-10-08,http://ufcstats.com/fighter-details/55a7b2d4e54ffac9
Will Chope,76.0,145.0,,Switch,1990-09-08,http://ufcstats.com/fighter-details/db5dc7cb80d7d418
Cody Chovancek,68.0,135.0,67.0,Switch,1998-07-24,http://ufcstats.com/fighter-details/3c4320a1b6106611
Joachim Christensen,75.0,205.0,76.0,Orthodox,1978-11-07,http://ufcstats.com/fighter-details/2d447cc91bdaa545
Kevin Christian,79.0,205.0,80.0,Orthodox,1995-01-21,http://ufcstats.com/fighter-details/7e9b36a9847db116
Dan Christison,80.0,265.0,,Orthodox,1972-04-26,http://ufcstats.com/fighter-details/b369533a577fa97c
Anthony Christodoulou,69.0,155.0,,Orthodox,1987-07-30,http://ufcstats.com/fighter-details/4f11e9ce318ffbcb
Murad Chunkaiev,71.0,185.0,,Orthodox,,http://ufcstats.com/fighter-details/d4a12dfa4067742f
Cameron Church,71.0,155.0,72.0,Orthodox,1990-09-27,http://ufcstats.com/fighter-details/f197ce0cbe69996d
Steven Ciaccio,72.0,170.0,,,,http://ufcstats.com/fighter-details/eaebaa6801338ea1
Mike Ciesnolevicz,72.0,235.0,,Orthodox,1979-10-28,http://ufcstats.com/fighter-details/51b0bb73a1da34bc
Hannah Cifers,61.0,115.0,62.0,Orthodox,1992-06-26,http://ufcstats.com/fighter-details/2244d9a2b64b8c3b
Branko Cikatic,73.0,215.0,,Orthodox,1954-10-03,http://ufcstats.com/fighter-details/4e5bbc4566049cbf
Nikolajus Cilkinas,,,,Orthodox,,http://ufcstats.com/fighter-details/3f3550bf126a5721
Misha Cirkunov,75.0,205.0,77.0,Orthodox,1987-02-27,http://ufcstats.com/fighter-details/67f272324a030d00
Johnny Cisneros,71.0,170.0,,,1980-02-05,http://ufcstats.com/fighter-details/42611508ba8c3298
Laverne Clark,71.0,170.0,,Orthodox,1973-12-02,http://ufcstats.com/fighter-details/1c2f2571b18791b6
Logan Clark,74.0,185.0,,Orthodox,1985-02-16,http://ufcstats.com/fighter-details/6776260cb0aef647
Mychal Clark,75.0,224.0,,Orthodox,,http://ufcstats.com/fighter-details/69108cb8b32efe04
Dominic Clark,70.0,155.0,,,1985-08-01,http://ufcstats.com/fighter-details/8a64b3f87ad29d1e
Heather Clark,66.0,115.0,64.0,Orthodox,1980-09-19,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9
Devin Clark,72.0,205.0,75.0,Orthodox,1990-04-12,http://ufcstats.com/fighter-details/cc7040fe76f0ef91
Jessica-Rose Clark,65.0,135.0,64.0,Orthodox,1987-11-28,http://ufcstats.com/fighter-details/6c8072b61c276e67
Shannon Clark,65.0,125.0,64.0,Orthodox,1992-07-07,http://ufcstats.com/fighter-details/7ae36b3791e0969a
John Clarke,,170.0,,,1977-08-15,http://ufcstats.com/fighter-details/a77c71a574132188
Mitch Clarke,70.0,155.0,73.0,Orthodox,1985-11-24,http://ufcstats.com/fighter-details/c76ec2bc3a57666a
Rich Clementi,69.0,155.0,72.0,Southpaw,1976-03-31,http://ufcstats.com/fighter-details/7d21de9c6d7c98b2
Chris Clements,70.0,170.0,70.0,Orthodox,1976-02-09,http://ufcstats.com/fighter-details/e5ecaf884b6da2bc
RJ Clifford,,160.0,,,,http://ufcstats.com/fighter-details/8e32bfcff3ec1717
Mark Climaco,64.0,125.0,65.0,Southpaw,1997-11-06,http://ufcstats.com/fighter-details/60098849c703e389
Josh Clopton,66.0,145.0,,Orthodox,1981-07-11,http://ufcstats.com/fighter-details/48e96d9cea6d4ab0
Brian Cobb,71.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/3138fab619faf4d1
Darryl Cobb,69.0,185.0,,,1980-08-04,http://ufcstats.com/fighter-details/dc6d8256ee3dfba5
Dave Cochran,66.0,155.0,,,1973-05-10,http://ufcstats.com/fighter-details/6dbb1107de9a4a08
Dakota Cochrane,68.0,155.0,,,1986-05-01,http://ufcstats.com/fighter-details/8fa7e0bc052185ce
Marloes Coenen,69.0,145.0,67.0,,1981-03-31,http://ufcstats.com/fighter-details/0b77a05bcbd2de74
Marc Cofer,,185.0,,,1972-03-03,http://ufcstats.com/fighter-details/e90d9d0681270953
John Cofer,69.0,155.0,,Southpaw,1984-04-29,http://ufcstats.com/fighter-details/8b260672a21d1fd6
Chris Coggins,,,,,,http://ufcstats.com/fighter-details/a0c29b13f7a5df32
Felipe Colares,68.0,145.0,69.0,Orthodox,1994-03-31,http://ufcstats.com/fighter-details/dbac0a413af64bbe
Wayne Cole,73.0,205.0,,Orthodox,,http://ufcstats.com/fighter-details/2eab7a6c8b0ed8cc
Devin Cole,76.0,240.0,,Orthodox,1976-10-01,http://ufcstats.com/fighter-details/1174782eacde9b0c
Coltin Cole,,185.0,,,1989-04-24,http://ufcstats.com/fighter-details/cecd72feb0d640e3
Ivan Cole,69.0,135.0,,,1990-11-30,http://ufcstats.com/fighter-details/987b80f57190d6d0
Chandler Cole,70.0,264.0,72.0,Orthodox,1995-01-09,http://ufcstats.com/fighter-details/5d8a9c95af50280a
Mark Coleman,73.0,205.0,75.0,Orthodox,1964-12-20,http://ufcstats.com/fighter-details/21b8a0f5c231096f
Cortez Coleman,73.0,185.0,,,1982-01-28,http://ufcstats.com/fighter-details/ffb20ae0db47ebe6
Clay Collard,71.0,145.0,73.0,Orthodox,1993-03-10,http://ufcstats.com/fighter-details/cc900c6a71ed23f3
Jamie Colleen,63.0,115.0,65.0,Orthodox,1985-11-02,http://ufcstats.com/fighter-details/6b64db453edf4c50
Jake Collier,75.0,230.0,78.0,Orthodox,1988-10-25,http://ufcstats.com/fighter-details/92fa1401b7927da3
Christian Colombo,77.0,265.0,,Orthodox,1980-07-01,http://ufcstats.com/fighter-details/9123c54d0a2b72dd
Willian Colorado,70.0,135.0,72.0,,1986-06-21,http://ufcstats.com/fighter-details/dfc7f0a2d91ad337
Wes Combs,74.0,205.0,,Orthodox,1973-06-18,http://ufcstats.com/fighter-details/a85998eb79650b2c
Rose Conceicao,55.0,115.0,65.0,Orthodox,1997-05-13,http://ufcstats.com/fighter-details/a76c07e8e4c76e9a
Roque Conceicao,,125.0,,Orthodox,1999-10-27,http://ufcstats.com/fighter-details/b4ebc1539a08054b
Carlos Condit,74.0,170.0,75.0,Orthodox,1984-04-26,http://ufcstats.com/fighter-details/f9f07bb5a43535ed
Chris Condo,72.0,335.0,,Orthodox,,http://ufcstats.com/fighter-details/41e77dc504a192c6
Jack Congdon,74.0,170.0,75.0,Switch,1997-05-21,http://ufcstats.com/fighter-details/c44530d3969134a3
Tristan Connelly,70.0,145.0,68.0,Orthodox,1985-12-12,http://ufcstats.com/fighter-details/2ebfbe72ed703925
Marcos Conrado Jr.,74.0,220.0,,Orthodox,1982-03-14,http://ufcstats.com/fighter-details/d450769115a193c2
Jeremiah Constant,73.0,240.0,,Orthodox,1974-07-19,http://ufcstats.com/fighter-details/18f5669a92e99d92
Jonathan Contrestano,,155.0,,,,http://ufcstats.com/fighter-details/06d4eb8123087123
Bob Cook,69.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/1c061eb6e29eaa0a
Mike Cook,73.0,205.0,,Orthodox,,http://ufcstats.com/fighter-details/3ab0df1ddd5f1dc2
Chad Cook,74.0,205.0,,,1979-11-07,http://ufcstats.com/fighter-details/e6daf9cdbf0da889
TJ Cook,,205.0,,,1982-09-08,http://ufcstats.com/fighter-details/fa238ecfd048f7d8
Dewey Cooper,,205.0,,,,http://ufcstats.com/fighter-details/5efaaf313b652dd7
Brett Cooper,72.0,170.0,,Orthodox,1987-07-02,http://ufcstats.com/fighter-details/88ffe9745e218dd8
Bill Cooper,,155.0,,,1984-05-05,http://ufcstats.com/fighter-details/78bd6940d093fd33
Bobby Cooper,73.0,155.0,,,,http://ufcstats.com/fighter-details/1b51895e5572cfda
Amanda Cooper,63.0,115.0,64.0,Switch,1991-10-22,http://ufcstats.com/fighter-details/d4a31850a7457f1b
Kit Cope,72.0,170.0,,Orthodox,1977-03-17,http://ufcstats.com/fighter-details/ce47f49e5c386a9c
Chris Cope,72.0,170.0,72.0,Orthodox,1983-03-05,http://ufcstats.com/fighter-details/8c8c92a12621d7e0
Josh Copeland,73.0,265.0,,Orthodox,1982-10-20,http://ufcstats.com/fighter-details/3aa794cbe1e3484b
Michael Cora,73.0,170.0,77.0,Southpaw,1989-08-24,http://ufcstats.com/fighter-details/2b91eff985b532cd
Akira Corassani,68.0,145.0,68.0,Orthodox,1982-08-27,http://ufcstats.com/fighter-details/3f52ce18fb98008f
Muhsin Corbbrey,70.0,155.0,,Orthodox,1978-05-18,http://ufcstats.com/fighter-details/1f9344211ca7fd60
Alden Coria,68.0,125.0,67.0,Orthodox,1998-04-24,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75
Daniel Cormier,71.0,235.0,72.0,Orthodox,1979-03-20,http://ufcstats.com/fighter-details/d967f0128c323de6
Nora Cornolle,67.0,135.0,67.0,Orthodox,1989-12-06,http://ufcstats.com/fighter-details/f2b3f4ef3f780168
Clint Coronel,,155.0,,,,http://ufcstats.com/fighter-details/fe67cd6423f7a8ad
Henry Corrales,69.0,145.0,,,,http://ufcstats.com/fighter-details/7cb0946d51b8cde7
Bethe Correia,65.0,135.0,64.0,Orthodox,1983-06-22,http://ufcstats.com/fighter-details/673ea7dcc786b1b3
Wesley Correira,75.0,260.0,,Orthodox,1978-11-11,http://ufcstats.com/fighter-details/4e9fb05d7e5e61b8
Waldo Cortes-Acosta,76.0,260.0,78.0,Orthodox,1991-10-03,http://ufcstats.com/fighter-details/fc08099550072fe4
Tracy Cortez,65.0,125.0,65.0,Orthodox,1993-12-10,http://ufcstats.com/fighter-details/68d4a891e5cf2029
Reyes Cortez Jr.,67.0,135.0,68.0,Orthodox,1992-07-31,http://ufcstats.com/fighter-details/1a7d44196949577c
Chad Corvin,77.0,255.0,,,,http://ufcstats.com/fighter-details/1267b631db78665a
Louis Cosce,69.0,170.0,71.0,Orthodox,1995-08-27,http://ufcstats.com/fighter-details/afe8d5b39ff7fca2
Orion Cosce,71.0,170.0,71.0,Switch,1994-07-15,http://ufcstats.com/fighter-details/2c010b26a3306969
Miguel Cosio,76.0,205.0,,,,http://ufcstats.com/fighter-details/d150c6fbdb7687f4
Jadson Costa,67.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/222d6b547de2e035
Guilherme Costa,,155.0,,,,http://ufcstats.com/fighter-details/28877eddb1c0b967
Paulo Costa,73.0,185.0,72.0,Orthodox,1991-04-21,http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82
Randy Costa,69.0,135.0,73.0,Switch,1994-07-06,http://ufcstats.com/fighter-details/325ad0dd9126d3df
Alessandro Costa,64.0,125.0,67.0,Orthodox,1996-01-28,http://ufcstats.com/fighter-details/3fa97913cfd205d3
Melquizael Costa,70.0,145.0,71.0,Southpaw,1996-09-14,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e
Vitor Costa,74.0,185.0,75.0,Orthodox,2000-09-19,http://ufcstats.com/fighter-details/c41cbb5bf944ca54
Oscar Cota,72.0,230.0,72.0,Orthodox,1984-10-15,http://ufcstats.com/fighter-details/f584a6e0b5b74604
Patrick Cote,71.0,170.0,75.0,Orthodox,1980-02-29,http://ufcstats.com/fighter-details/9fa3bd637edd9aa2
JC Cottrell,69.0,155.0,,Orthodox,1989-11-04,http://ufcstats.com/fighter-details/3ec1e4ba98c9c85a
JR Coughran,66.0,145.0,,Orthodox,1994-05-17,http://ufcstats.com/fighter-details/8112c9a23dccc759
Rashad Coulter,71.0,205.0,76.0,Orthodox,1981-11-27,http://ufcstats.com/fighter-details/d1528ac5675558b1
Dave Courchaine,68.0,170.0,,,,http://ufcstats.com/fighter-details/79ab17db3b40831a
Randy Couture,73.0,205.0,75.0,Orthodox,1963-06-22,http://ufcstats.com/fighter-details/0aa92558424ced9e
Kim Couture,68.0,135.0,,Orthodox,1975-12-18,http://ufcstats.com/fighter-details/84c43f0d25f15b0b
Ryan Couture,70.0,155.0,73.0,Orthodox,1982-08-27,http://ufcstats.com/fighter-details/46fd223e3ced39b3
Nikk Covert,68.0,185.0,,,1969-08-04,http://ufcstats.com/fighter-details/400c7b43c86d27d3
Colby Covington,71.0,170.0,72.0,Orthodox,1988-02-22,http://ufcstats.com/fighter-details/dc9572dd6ec74859
Hailey Cowan,68.0,135.0,67.0,Southpaw,1992-02-12,http://ufcstats.com/fighter-details/3c26c420584d912d
Jeff Cox,70.0,155.0,,Orthodox,1968-08-02,http://ufcstats.com/fighter-details/c9bbf1a0285a8076
Nathan Coy,70.0,170.0,69.0,Southpaw,1978-07-24,http://ufcstats.com/fighter-details/15ec018d144710db
Andrew Craig,73.0,170.0,76.0,Orthodox,1986-01-15,http://ufcstats.com/fighter-details/8a70ceb3edbe757b
Paul Craig,75.0,205.0,76.0,Orthodox,1987-11-27,http://ufcstats.com/fighter-details/eabf206b162b3b83
Dan Cramer,74.0,170.0,,Orthodox,1985-10-31,http://ufcstats.com/fighter-details/480b702debcb5433
Alberto Crane,65.0,155.0,,Orthodox,1976-07-14,http://ufcstats.com/fighter-details/25433871e4eee0f4
Tim Credeur,75.0,185.0,75.0,Orthodox,1977-07-09,http://ufcstats.com/fighter-details/89b8d1bf1ff09d1d
Paul Creighton,66.0,155.0,,Southpaw,1970-06-04,http://ufcstats.com/fighter-details/ed73c85164a5f5a4
Helena Crevar,,,,,,http://ufcstats.com/fighter-details/a8c3ce469cb8b130
Alexander Crispim,,145.0,,,,http://ufcstats.com/fighter-details/15dedd05f8bcb475
Alex Crispin,,155.0,,,,http://ufcstats.com/fighter-details/8944a0f9b2f0ce6d
Melissa Croden,,135.0,,,1991-04-12,http://ufcstats.com/fighter-details/51e2f44a8dbf6984
Kevin Croom,71.0,135.0,73.0,Orthodox,1987-07-15,http://ufcstats.com/fighter-details/35b3772629e27a49
Kiefer Crosbie,71.0,170.0,70.0,Switch,1990-04-05,http://ufcstats.com/fighter-details/4729c93ba705a3bf
Ken Cross,72.0,155.0,72.0,Southpaw,1994-10-04,http://ufcstats.com/fighter-details/923767209632e08a
Jeff Crotty,,155.0,,,,http://ufcstats.com/fighter-details/98601a40e9d96047
Allen Crowder,75.0,245.0,76.0,Orthodox,1989-11-08,http://ufcstats.com/fighter-details/a9d6e047ce48ab63
Daron Cruickshank,68.0,155.0,72.0,Switch,1985-06-11,http://ufcstats.com/fighter-details/5f99b2bafb10305f
Richard Crunkilton,67.0,155.0,,Orthodox,1979-11-25,http://ufcstats.com/fighter-details/22ee260735da0d58
Jimmy Crute,74.0,205.0,74.0,Orthodox,1996-03-04,http://ufcstats.com/fighter-details/70e1f8a821b72c8b
Marcio Cruz,76.0,232.0,,Orthodox,1978-04-24,http://ufcstats.com/fighter-details/6aa1cbc1466e9a0b
Dominick Cruz,68.0,135.0,68.0,Orthodox,1985-03-09,http://ufcstats.com/fighter-details/10f3ba6cd2f44a97
Aalon Cruz,72.0,145.0,78.0,Switch,1989-09-20,http://ufcstats.com/fighter-details/003d82fa384ca1d0
Timmy Cuamba,69.0,145.0,71.0,Orthodox,1999-02-08,http://ufcstats.com/fighter-details/0e46690e55a8df75
Jay Cucciniello,67.0,155.0,,Orthodox,1986-07-23,http://ufcstats.com/fighter-details/683ea28a198936fe
Emilio Cuellar,,125.0,,,,http://ufcstats.com/fighter-details/3aeb69b4a13ff0e8
Josh Culibao,70.0,145.0,73.0,Orthodox,1994-05-24,http://ufcstats.com/fighter-details/6751eacd16bd59bc
Chris Culley,,145.0,,,1986-03-25,http://ufcstats.com/fighter-details/e59b13321562eed3
Abel Cullum,67.0,139.0,,Orthodox,1987-04-21,http://ufcstats.com/fighter-details/2f8f3c69522db931
Zak Cummings,72.0,205.0,75.0,Southpaw,1984-08-02,http://ufcstats.com/fighter-details/4ba8d454f762005d
Everett Cummings,,205.0,,,,http://ufcstats.com/fighter-details/05e4be525cb3578c
Patrick Cummins,74.0,205.0,76.0,Orthodox,1980-11-16,http://ufcstats.com/fighter-details/e51e5cb722bd47a8
Luke Cummo,72.0,170.0,74.0,Orthodox,1980-04-27,http://ufcstats.com/fighter-details/93ce4ac89e3d7652
Hugo Cunha,75.0,263.0,79.0,Orthodox,1993-02-04,http://ufcstats.com/fighter-details/46a17755f80f63e8
Alton Cunningham,74.0,205.0,77.0,Orthodox,1993-06-24,http://ufcstats.com/fighter-details/305bde44ff664788
AJ Cunningham,70.0,135.0,71.0,Orthodox,1994-09-07,http://ufcstats.com/fighter-details/d1053e55f00e53fe
Tommy Cuozzi Jr.,69.0,145.0,71.0,Orthodox,1999-08-31,http://ufcstats.com/fighter-details/eb49fe2f85ae9526
Santo Curatolo,63.0,125.0,62.0,Southpaw,1995-01-18,http://ufcstats.com/fighter-details/b8b765e320a8db39
Larry Cureton,74.0,240.0,,Orthodox,,http://ufcstats.com/fighter-details/46f11d15c0134fe3
Jeff Curran,66.0,135.0,69.0,Orthodox,1977-09-02,http://ufcstats.com/fighter-details/a8ea84cbe1655f0a
Kailin Curran,64.0,115.0,65.0,Orthodox,1991-04-11,http://ufcstats.com/fighter-details/05b43e0ead3df345
Pat Curran,69.0,145.0,,,1987-08-31,http://ufcstats.com/fighter-details/d8291d0dd63da29c
Will Currie,75.0,185.0,76.0,Switch,1998-11-12,http://ufcstats.com/fighter-details/b8ff02d5703eca3a
Chris Curtis,70.0,170.0,75.0,Orthodox,1987-07-15,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3
Ion Cutelaba,73.0,205.0,75.0,Southpaw,1993-12-14,http://ufcstats.com/fighter-details/cd13728ae1151f46
Gleidson Cutis,69.0,155.0,,Orthodox,1989-02-07,http://ufcstats.com/fighter-details/44a94bbde42246e4
Sarah D'alelio,67.0,145.0,,,1980-12-13,http://ufcstats.com/fighter-details/ac45450f75d14f16
Marcos da Matta,64.0,145.0,,,1973-03-18,http://ufcstats.com/fighter-details/3b6d84343579fd33
Henrique da Silva,75.0,205.0,76.0,Orthodox,1989-09-01,http://ufcstats.com/fighter-details/b0bd0c5425668b8f
Ariane da Silva,66.0,125.0,67.0,Orthodox,1994-01-26,http://ufcstats.com/fighter-details/6551c64fbcd1a467
Alex Da Silva,68.0,155.0,73.0,Orthodox,1996-02-04,http://ufcstats.com/fighter-details/c3ded6f7155f9ea4
Radley Da Silva,69.0,145.0,71.0,Orthodox,1995-06-20,http://ufcstats.com/fighter-details/0d68c7bfdff1dc34
Henrique Da Silva Lopes,75.0,240.0,,,1985-03-08,http://ufcstats.com/fighter-details/1f8cd7634e8286ff
Deni Daffa,72.0,155.0,74.0,Orthodox,1999-09-08,http://ufcstats.com/fighter-details/d28bef63e7d8d536
Nicolas Dalby,71.0,170.0,74.0,Orthodox,1984-11-16,http://ufcstats.com/fighter-details/9d19d9e4aa2662e8
Paul Daley,69.0,170.0,76.0,Orthodox,1983-02-21,http://ufcstats.com/fighter-details/23725c826c481e7f
Dave Dalgliesh,74.0,205.0,,Orthodox,1978-04-05,http://ufcstats.com/fighter-details/ddbd0d6259ce57cc
Richard Dalton,73.0,205.0,,Orthodox,,http://ufcstats.com/fighter-details/6cd3dfc54f01287f
Aisling Daly,62.0,115.0,64.0,Orthodox,1987-12-24,http://ufcstats.com/fighter-details/e50cd77732d39967
Marko Damiani,72.0,170.0,,,,http://ufcstats.com/fighter-details/6e9b5c74c0860deb
Leonardo Damiani,70.0,170.0,69.0,Orthodox,1990-08-30,http://ufcstats.com/fighter-details/acd870570949d8a2
Rodrigo Damm,67.0,155.0,71.0,Orthodox,1980-02-03,http://ufcstats.com/fighter-details/a20d7dfaba74c067
Carina Damm,64.0,135.0,,,,http://ufcstats.com/fighter-details/033343da4c0cff8a
Batgerel Danaa,67.0,135.0,70.0,Orthodox,1989-07-04,http://ufcstats.com/fighter-details/3b0a516d2921e0d6
Cindy Dandois,67.0,135.0,,Orthodox,1984-10-26,http://ufcstats.com/fighter-details/9eef6584fab21fbb
Peter Danesoe,69.0,135.0,68.0,Orthodox,2000-09-01,http://ufcstats.com/fighter-details/5f119b24c0f9679c
Jarjis Danho,75.0,265.0,74.0,Orthodox,1983-10-15,http://ufcstats.com/fighter-details/8614b7134913f5d5
Jose Daniel Medina,72.0,185.0,74.0,Orthodox,1991-05-17,http://ufcstats.com/fighter-details/baa9be02c3e3e038
Raymond Daniels,74.0,185.0,,Southpaw,,http://ufcstats.com/fighter-details/fccb0fee256b7b4d
Marques Daniels,,155.0,,,,http://ufcstats.com/fighter-details/55a80a9365bc107d
Anvarbek Daniyalbekov,,185.0,,,1995-05-27,http://ufcstats.com/fighter-details/859e0dafd04fe1ca
Alexandre Dantas,74.0,238.0,,Orthodox,1979-03-01,http://ufcstats.com/fighter-details/8dc46e9a7895ce1a
Eduardo Dantas,70.0,135.0,,,1989-02-03,http://ufcstats.com/fighter-details/676a2e5ec4d7338c
Mac Danzig,68.0,155.0,70.0,Orthodox,1980-01-02,http://ufcstats.com/fighter-details/86f582852a5b240a
Karen Darabedyan,67.0,155.0,68.0,Orthodox,1986-12-18,http://ufcstats.com/fighter-details/d2fa318f34d0aadc
Beneil Dariush,70.0,155.0,72.0,Southpaw,1989-05-06,http://ufcstats.com/fighter-details/08af939f41b5a57b
Sean Daugherty,72.0,175.0,,,1975-12-04,http://ufcstats.com/fighter-details/a683f9ddb70aa4bd
Kyle Daukaus,74.0,185.0,76.0,Southpaw,1993-02-27,http://ufcstats.com/fighter-details/d6c0cdd7e467c440
Chris Daukaus,75.0,205.0,76.0,Orthodox,1989-09-25,http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45
Brian Davidson,66.0,145.0,,,,http://ufcstats.com/fighter-details/42775dc893603154
Rick Davis,69.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/2549d63da9c456cb
Marcus Davis,70.0,170.0,70.0,Southpaw,1973-08-24,http://ufcstats.com/fighter-details/b7d524c77c27389b
LC Davis,68.0,135.0,69.0,Southpaw,1980-10-28,http://ufcstats.com/fighter-details/6dab8ce5e4bffe77
